Hotel Name,Location,County or Region,Country,Hotel Description,Price Range,Amenities,Hotel Category,Contact Information,Website URL,Source URL
Classic Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5268311629
New Double M Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5293823597
Mombasa Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5348875638
Kilungeja Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5448172324
Mara countryard lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5501826423
Keys Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5621659622
MRC Backpackers,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,"2, Repoa",No website available,https://www.openstreetmap.org/node/5811636854
Shemshiz Hotel and Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6243901225
Mikumi Inn Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6259234311
Masia Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6263677579
New Madiba Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,"A hotel located in Dar es Salaam, rated 2 stars.",Check website,air conditioning,2-star,No contact information available,No website available,https://www.openstreetmap.org/node/6280276368
King D Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6285544990
Star City Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6285544991
Mlemisi Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397929672
Kilinja Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397929673
JM lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397929674
DK Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397929677
PMB Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397929678
Calfonia Inn hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397930098
Kalembo Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397930103
Dreamers Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397930113
Hill star Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6397955644
Euro Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398093629
Picol Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398169686
Mediteranian hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398169702
Land Mark Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398244297
Elegance Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398244301
Hotel Africa Sana,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398244343
Calabus Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398244359
Mawenzi Annex,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398267614
Sigro Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398267619
Silver Mela,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398267655
Mkamba Geust House,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6398267797
Binam Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400071777
Ojays Kids Zone,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400147977
Victoria Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400147980
Chichi Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400151399
JVL Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"1, Togo",No website available,https://www.openstreetmap.org/node/6400151404
Shibam hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400259071
Munah Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400259072
City View Bar and Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400343760
Breeze Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400359316
Singano Hostel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400359346
Maamo Hotel and Bar,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400359350
Iceland Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400555950
Itumbo Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6400556006
JPM hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405873740
Kanoel hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405873742
Grand Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405873779
Shosholazi hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405874088
French corner hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405874100
Nefaland hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405874101
Mambuya hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6405874103
Golden Tulip Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,air conditioning,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406108884
Sea Cliff Village,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406109002
Boulera Inn Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406109019
Double Tree Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406109021
Regency Park Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406109066
Alpha hostel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406233140
Data Vision (id card solution ),Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,"internet access, air conditioning",Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406233156
Atithi Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406233159
Varlek Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406233170
Northland Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406317838
Royal Village Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Kawawa Road,No website available,https://www.openstreetmap.org/node/6406317862
Top Land hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406317995
Cate Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406616497
Blue Bird Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406706955
Fahari Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406706957
Delfrance hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406706980
Mkomilo hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406707888
Lion hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Matatiele Road,http://www.lionhotelltd.com/,https://www.openstreetmap.org/node/6406707890
Shamol hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406707893
Wanyama hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406707900
Eaivad Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/6406707907
City Novert Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406707922
Mwika Hotel and Social Hall,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406707923
Big Brother Hotel Inn,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6406752446
Green Light Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/6406752449
Zanzibar Paradise Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408478634
New Yue Tan Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408499557
Dallas Inn,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408499560
Harane Inn Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408522296
Crowne Plaza Dar Es Salaam,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Magore Street, Dar es Salaam",https://www.ihg.com/crowneplaza/hotels/us/en/dar-es-salaam/dards/hoteldetail,https://www.openstreetmap.org/node/6408627674
New Silverstone Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636232
Royal Njombe Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636234
Kabadamo Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636239
Rombo Green View Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/6408636243
Mick Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636245
Kagame Inn Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636246
Next Inn Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636247
Password Classic Hotel Annex,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636248
92 Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,"internet access, air conditioning",Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408636249
Lunch Time Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408638591
Moveck Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408638597
Open Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408638599
Hostel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6408763446
Fashion International Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6469148887
nyavyamo hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/6542173290
Iris Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Amani Street, Dar es Salaam",No website available,https://www.openstreetmap.org/node/7091751724
Saadani Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/8491311125
Kebby Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,"A hotel located in Dar es Salaam, rated 3 stars.",Check website,internet access,3-star,Pundamilia Street,No website available,https://www.openstreetmap.org/node/8491325304
Bayview,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/8491442825
Blackwood Hotel and Apartments,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,"internet access, air conditioning",Unrated,"Bondeni Street, Dar es Salaam",https://www.blackwoodaparthotel.co.tz,https://www.openstreetmap.org/node/8491443562
Nikko tower,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9010770617
Machengwe,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Dossi, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275336490
The Inns Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Mazizini, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275336860
Cleopatra Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Mbweni, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552247
Butterfly Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Muheza, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552248
The Nook,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Ngano, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552249
Bonjiur Cafe,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"34, Amani, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552253
Mpoki Bar,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Kigogo, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552254
BML Highway Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Dossi, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552255
New Bondeni Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Dossi, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552257
Njia Raha Corner,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Mwembeni, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552258
Ave Maria,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Sukuma, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552261
Rissing Sun Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Narung'ombe, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552264
Zimbo Golden Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Nyamwezi, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552266
Pacific Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,"Wazani, Dar es Salaam",No website available,https://www.openstreetmap.org/node/9275552271
Pearl,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9353342059
Double G Lodge,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/9666756017
Hotel Slipway,Dar es Salaam,Dar es Salaam Region,Tanzania,"A hotel located in Dar es Salaam, rated 4 stars.",Check website,air conditioning,4-star,+255 22 2600893,No website available,https://www.openstreetmap.org/node/10309391012
Girrafe Beach Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,No contact information available,https://giraffebh.com/,https://www.openstreetmap.org/node/10588241105
Hotel Totara,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,"internet access, air conditioning",Unrated,"64, Msasani Road",https://hotel-totara.business.site/,https://www.openstreetmap.org/node/10701670005
Hotel Milan by Totara,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,1131,No website available,https://www.openstreetmap.org/node/10701687505
Tanston Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/11891152972
Protea Hotel Oysterbay,Dar es Salaam,Dar es Salaam Region,Tanzania,"A hotel located in Dar es Salaam, rated 4 stars.",Check website,No amenities listed,4-star,No contact information available,No website available,https://www.openstreetmap.org/node/11893717878
karambezi cafe seaclif,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/12323336901
The L Boutique Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,+255 67 3388888,No website available,https://www.openstreetmap.org/node/12431400838
Staywell,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,air conditioning,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/12431411336
Peals,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Swahili Street,No website available,https://www.openstreetmap.org/node/12886466302
Sun 'n Sand Beach Resort,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Mji Mwema Road,No website available,https://www.openstreetmap.org/node/13415146401
Wanyama Hotel Kariakoo,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/13700515901
Center Point Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/13992451202
New Africa Hotel,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/13992451211
Mwigo Empire Hall,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Dar es Salaam,No website available,https://www.openstreetmap.org/node/13992451212
SeaShells Millenium Towers,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/36073568
Southern Sun Dar es Salaam,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,internet access,Unrated,"Garden Avenue, Dar es Salaam",https://www.southernsun.com/southern-sun-dar-es-salaam?utm_source=openstreetmaps&utm_medium=businesslisting&utm_campaign=hotel_southern-sun-dar-es-salaam,https://www.openstreetmap.org/way/135114636
Hotel Raha Tower,Dar es Salaam,Dar es Salaam Region,Tanzania,A hotel located in Dar es Salaam.,Check website,No amenities listed,Unrated,Bibi Titi Street,No website available,https://www.openstreetmap.org/way/166712660
